hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
134,84,23,48,86,262,473,1207,1476,2168,2088,1513,3621,2432,2290,4464,4505,4810,3121,1537,849,820,282,106
122,87,25,50,104,259,599,869,1200,1661,2105,1872,4389,3096,2056,3071,3627,4871,2601,1322,805,532,204,104
111,87,25,56,78,200,489,890,1398,2337,2029,1969,3528,2555,2007,3991,4453,3734,3679,1730,905,710,191,104
151,87,18,62,73,252,439,776,1171,2338,2224,1891,4958,3357,2930,4478,3860,3728,3321,1806,1048,852,233,121
105,86,23,41,82,264,637,991,1218,1749,1937,2270,3341,3558,1910,3023,3348,3385,3352,1702,834,589,248,98
155,96,24,40,108,237,513,1239,975,1617,2560,2056,3572,2339,2552,4064,4458,4866,4196,2004,857,747,252,92
116,114,26,43,80,171,518,777,1102,2292,2690,2186,3486,3190,2143,3425,5250,3340,3584,1418,911,860,251,95
163,74,21,49,105,175,526,943,1359,1482,1970,1487,4247,3268,2031,4367,3866,3598,3489,1422,840,796,235,80
161,110,30,54,81,220,435,1016,1227,1482,2368,1935,4818,3466,2373,3603,4271,3472,3181,1258,771,612,208,126
153,83,20,50,82,171,624,1166,1063,2340,2616,1852,3949,2943,2356,3269,3456,3301,3360,2019,660,823,250,127
143,104,27,51,96,181,403,1190,1178,1685,2644,1946,3333,3607,2778,3939,4013,3304,4091,1717,835,643,248,117
122,78,28,54,71,177,413,1012,1285,1587,1984,2188,4656,3294,1934,3113,4080,3214,2665,1328,899,717,247,91
146,111,24,61,85,262,650,881,1493,2131,2136,2218,4357,3373,2238,3656,3315,3620,3935,1587,914,805,184,90
142,92,19,58,82,174,500,1118,1415,2320,1989,1462,4405,3371,2454,3914,3753,4731,2788,1411,760,611,251,94
150,95,29,59,75,215,500,1187,965,1792,2771,2086,5262,3233,2792,4315,4771,3417,3479,1291,742,629,177,127
141,92,29,59,99,270,624,1085,1413,2091,1771,2286,5026,2279,2520,3345,4230,4973,4119,1623,922,545,246,101
107,79,23,44,103,240,440,794,1175,2222,2411,1888,5065,2458,2772,3754,5225,3623,3499,1772,750,813,201,109
112,114,26,54,82,226,614,911,939,1620,2358,1621,4196,3165,3018,3081,4753,3641,2928,1703,1020,846,282,106
166,69,25,63,103,172,513,1201,1145,1985,2536,2165,4809,2653,1854,4315,4603,5179,3720,1372,809,775,261,115
114,93,18,61,100,218,582,752,1503,1652,2654,2321,3671,2513,2857,3633,3538,3387,3561,1362,850,590,220,91
119,93,28,63,79,176,525,787,1433,2114,2569,2207,4089,2328,1873,4129,4642,4236,3754,1922,964,581,268,91
134,112,26,49,88,193,528,1008,1034,2396,2576,1882,3923,2544,2984,3147,5267,4902,2859,1559,786,585,230,98
147,94,28,51,95,220,626,1211,934,2352,1888,2377,4802,2984,1897,4199,5201,4665,3128,1393,922,861,204,93
148,79,29,53,85,219,504,991,1044,1956,2135,2022,3913,3216,2828,4365,3851,4183,3447,1633,976,626,202,91
158,102,21,62,107,257,556,1097,1121,2295,2255,1797,3859,3448,2197,3327,3629,4708,3659,1940,708,640,209,126
136,90,27,47,75,192,481,1010,1051,1698,2873,1531,4092,2839,2410,2884,5278,4581,3709,1596,713,626,212,112
163,110,30,56,73,246,611,812,1246,1489,2108,1579,3648,3541,2606,2973,4454,4981,2613,1596,991,570,194,81
141,102,29,58,87,257,634,1229,1138,1480,2812,2255,3981,2756,2087,3225,3930,4920,3128,1724,966,824,185,102
147,69,18,48,97,173,414,1149,966,1587,1834,1965,3339,3235,2684,3718,3721,5080,2699,1554,939,580,208,80
136,107,30,49,88,197,636,777,959,1689,2234,2025,4177,3533,2441,2881,3355,5201,3821,1995,981,641,191,94
163,90,24,60,81,226,435,807,1506,1707,2341,1801,4143,3264,1943,3301,4566,3431,2664,1941,968,564,251,88
164,99,20,59,69,228,527,1176,1218,1970,2490,2068,3583,2366,2998,4289,5107,4118,3096,1235,760,820,219,90
157,102,18,50,81,213,578,855,1414,2309,1951,2235,3985,3058,2594,3913,4395,5210,2951,1678,720,585,260,101
154,101,30,61,103,224,510,856,1069,1970,1938,1627,4658,3673,1911,3667,3358,3233,3125,1765,942,740,183,99
109,101,30,39,91,237,586,910,1473,2261,2614,1717,3592,2825,1914,4164,3394,4330,3965,1454,730,578,234,129
146,101,22,64,91,216,418,1167,952,2291,2026,2156,3315,3000,2310,4067,4044,4069,3904,1671,982,760,274,108
122,96,18,42,75,239,487,845,1342,1734,1956,2217,3961,2631,1958,4447,4654,3446,3577,1717,773,829,267,121
166,101,24,48,107,194,473,836,1301,2017,2583,1780,5340,2716,2856,4065,3343,4599,3144,1358,718,728,173,121
160,98,26,42,104,216,411,886,984,1491,1797,1984,4184,3483,2551,4473,4669,4643,3693,1970,1050,720,244,111
120,104,20,44,111,171,436,957,1206,1630,2623,2213,4278,3237,3022,4177,4377,4364,3887,1997,1005,845,252,95
146,110,27,51,111,264,588,803,1315,2178,2358,2013,5152,2462,2532,3491,4455,5339,3964,1371,909,672,280,94
139,75,29,51,96,255,520,889,1412,2209,2844,1981,5132,2920,1914,4590,4930,4569,2845,1559,714,697,213,107
156,78,20,64,77,258,569,854,1114,2435,2299,2311,4135,2419,2316,4011,3751,3430,3309,1304,943,852,240,120
114,107,19,60,81,197,565,919,1218,1749,2709,2035,4082,2459,2051,3137,5322,3719,2878,1469,728,765,208,130
112,103,22,44,103,206,531,792,1392,1956,2477,2321,4466,3499,2773,3268,3854,4714,2553,1234,680,532,260,122
145,97,26,60,103,235,489,809,947,2264,2439,1765,3859,3537,1959,3489,3770,4112,4154,1415,778,806,282,106
164,102,30,39,70,232,565,1089,1401,2372,2590,1995,4153,2667,2749,2870,3366,4977,2585,1818,649,520,194,120
131,73,30,39,86,170,452,837,1120,1593,2122,1898,3747,3495,2801,4017,3950,4609,2974,1835,635,665,259,93
156,89,22,46,71,206,463,782,975,2403,1909,1736,4439,3122,2927,4266,4019,3792,4155,1315,667,599,256,124
114,70,25,41,95,247,608,751,1316,2088,2130,1618,3426,3344,2820,4228,4366,5041,3050,1587,824,795,211,80
111,81,28,45,100,212,653,1064,1103,2363,2249,2242,3783,2385,3034,3233,5198,4209,4021,1581,979,603,193,115
147,114,23,55,77,232,591,761,967,1871,2095,2376,4552,2239,3019,4254,3863,3502,4052,1551,1022,790,193,115
155,73,25,50,80,278,627,863,1505,2248,2558,1523,4342,3271,1957,3327,4654,4460,3046,1489,985,554,181,110
162,99,24,43,77,219,432,1128,1105,2060,2129,1807,5156,3302,2722,4335,4543,5141,3035,1847,695,568,181,104
151,113,30,63,73,208,612,1104,1338,1539,2607,2027,4897,3625,2315,2930,3288,3599,3904,1875,990,592,207,79
151,109,27,45,85,183,561,1014,1327,1949,2635,2188,4313,3251,2796,4425,3781,3353,3592,1989,675,544,188,114
129,107,18,44,88,276,633,1145,1051,1491,2724,1728,5027,3537,2929,3286,4055,3719,2729,1819,657,851,186,113
101,86,21,52,110,230,573,844,1108,2319,2238,2222,4035,3455,2842,4432,3978,4756,3037,1491,941,839,191,83
153,108,19,56,108,169,621,1026,1298,1966,2530,1647,4480,3216,1877,3771,3467,4133,4091,2023,797,706,212,113
121,93,28,63,95,255,558,1149,1500,1932,2233,2328,5157,2847,2707,3302,4706,3208,3879,1826,1024,665,253,90
157,70,27,61,102,234,631,1077,1217,1604,2746,2308,3587,2575,2631,3499,3825,3962,3649,1847,765,651,187,92
127,109,30,52,106,234,410,1187,1462,2374,1983,2429,4804,2836,2731,3951,4468,4173,4021,1862,924,574,240,95
111,69,29,49,73,173,565,1052,946,1663,2557,2395,3926,2324,2567,3274,3256,3925,2631,1447,886,576,234,123
144,74,26,42,73,237,522,1223,1297,2310,2016,2413,4385,3124,2701,4369,5279,4021,2599,1384,1024,522,176,98
146,78,27,49,88,200,532,845,1233,1983,2280,1986,4015,2604,2423,4150,3817,3612,3887,1335,930,747,219,107
133,80,25,40,80,222,437,886,936,2195,2771,1541,4454,3584,2440,4565,4813,4801,3163,1730,1049,615,185,83
162,80,25,60,86,222,500,1103,1482,1960,2386,1840,3552,2449,2663,4583,5057,5037,2912,1378,716,659,252,105
115,102,26,58,77,256,409,893,1359,1996,2549,2319,4619,2418,2170,4105,4559,4965,3428,1935,1058,602,237,81
137,77,22,52,69,250,533,866,1067,1500,2083,2231,3802,2470,1939,3020,4196,4906,3894,1229,708,572,279,122
136,109,26,51,91,244,438,794,1234,1554,2840,1928,5254,3136,2951,3782,3998,5327,3615,1708,902,771,255,92
163,82,27,40,97,241,464,1208,1184,1964,2048,1864,3872,2972,2273,3356,5309,4250,2998,1291,996,615,224,113
134,80,18,61,67,259,631,1043,1369,2333,1804,2373,4742,2521,2013,3838,3574,5100,3182,1820,862,639,249,126
167,76,30,62,103,201,464,952,1424,2263,2251,1871,3891,3373,2035,3347,4791,3432,4140,1336,695,521,242,94
164,106,22,56,74,181,544,1066,1372,2292,2350,1582,3753,3023,2456,3506,3698,4665,4150,1223,635,791,179,101
129,79,24,58,94,253,544,1092,1193,2280,2562,2249,4563,3102,2455,3818,5272,3344,4062,1572,773,837,185,82
103,75,23,50,100,195,552,1076,1130,1727,2560,2389,3285,2258,3012,4499,3821,4400,3547,1790,688,730,247,127
102,103,22,54,71,172,486,926,1059,2115,2840,1504,4772,3495,2633,3171,4706,3656,3315,1421,739,596,247,80
153,98,26,62,69,274,464,1138,1318,1901,1899,1929,4546,3440,2179,4030,3715,4833,3010,1736,674,647,277,120
118,90,27,55,105,266,567,1151,1232,1575,2749,2296,4886,2709,3045,3859,4823,5237,3357,1773,738,829,259,86
119,84,26,40,106,193,491,1238,1211,1975,2683,1661,4594,2643,2672,3492,4716,5229,3540,1626,747,836,233,92
104,103,26,51,99,253,473,998,1059,1939,2156,1720,4274,3316,2038,3733,3415,3886,2603,1951,635,842,259,79
152,94,26,54,108,173,494,776,1454,1904,2676,2236,4051,2495,2236,2936,3509,4321,2625,1330,1052,586,255,85
104,72,25,53,105,275,580,892,1507,2446,1735,2036,3286,2607,2254,4337,4985,4155,4169,1351,916,723,170,108
145,71,18,39,97,210,408,999,1401,1935,2578,1889,5409,2342,1979,3910,4150,4338,2819,1625,1054,818,255,120
115,96,22,42,103,174,528,1196,1253,2233,2798,1997,4992,2927,2900,2960,4930,4418,3334,1567,748,671,213,114
105,96,27,59,107,263,409,821,1353,2273,2310,1819,4299,2457,2515,3030,4640,5207,4108,1790,1018,696,229,99
148,78,25,62,95,184,531,889,1157,2022,2092,2244,4471,3452,2117,4252,3697,3846,3093,1962,699,550,251,124
145,96,23,47,68,235,425,1063,1207,1536,2632,1934,3630,3390,2575,4594,5212,4095,2548,1312,980,582,215,98
153,98,24,42,104,267,627,1111,1082,1901,2038,1859,3864,2830,2715,3261,4711,4873,2868,2015,705,791,236,105
143,95,26,54,97,278,487,767,1181,1896,2164,2239,5377,3700,2273,3889,3648,4281,3732,1395,704,710,242,90
106,110,30,44,103,225,588,986,1435,1612,1920,2109,4343,3373,2519,4218,3195,4673,3834,1664,655,685,247,92
154,95,24,54,85,238,539,867,1494,1721,1842,1666,4560,2798,2901,4390,3764,4924,3344,1379,1033,642,206,129
111,74,29,44,101,200,568,1098,1040,1500,2645,1541,3875,3341,2800,4305,4834,4388,2908,1670,1055,671,185,121
150,82,21,63,71,268,408,934,1180,2305,2762,1931,4887,3279,2667,4340,3278,3343,4134,1887,694,519,184,119
124,95,18,52,100,224,406,1030,1476,1528,2328,1611,3496,3007,2874,4441,3895,4177,4187,1779,706,773,246,122
107,71,20,56,67,219,479,1028,1356,1918,2594,2042,3349,2740,2195,4345,3206,3246,3608,1566,1030,751,222,129
125,113,22,55,97,188,410,969,1072,2268,2556,1590,5223,3208,2719,4329,5124,3584,3783,1998,785,791,277,128
124,90,24,39,104,225,419,945,1275,2169,2198,2061,4105,3192,2690,3842,4815,5013,4121,1417,946,643,220,95
166,87,19,64,107,204,523,827,1293,2114,2460,2186,4263,3510,2449,3442,3237,5322,3876,1229,974,519,259,101
156,84,30,58,75,251,426,1131,1021,1740,2252,1758,3502,2810,2793,4171,5089,4294,3923,1395,729,634,198,125
158,80,24,61,81,181,637,981,1028,2117,1785,1849,4594,2618,1987,4571,4986,4189,3191,1740,824,693,218,129
107,99,19,54,80,193,631,1024,1116,2265,2603,1519,4678,3690,2806,4572,4999,4922,3821,1990,874,844,191,125
134,73,26,51,108,215,575,1139,987,1631,1754,2387,3422,2847,2482,3445,3565,4092,3631,1567,964,563,231,129
126,100,30,53,87,212,559,933,1035,2333,2138,2221,5152,3269,2034,2918,4604,3430,3143,1786,832,634,254,89
126,78,30,52,97,184,399,1030,1057,2219,2564,2000,5268,2821,2895,4288,5073,4338,2567,1336,912,707,263,88
141,100,23,49,84,248,596,941,1492,1991,1775,2324,3824,2831,2709,3992,4444,5332,2922,1382,667,548,171,126
131,88,18,64,91,211,451,1050,997,2248,1770,2410,4507,3115,1874,3905,4109,3518,3845,1233,653,569,279,112
141,103,24,59,72,186,595,1085,1491,1578,2504,1586,4377,2320,2600,3307,5087,4468,4005,1920,835,704,254,106
167,88,20,56,92,209,617,1101,1506,1515,2544,1935,4091,2339,2678,4362,4871,4913,3401,1807,651,746,280,114
101,75,21,55,86,175,585,999,1156,2247,2304,1600,5368,3449,2663,2929,4061,4255,4176,1901,843,588,213,107
135,98,22,60,98,189,648,989,917,2046,2804,2272,3491,3041,2660,3862,3763,5202,3812,1700,831,778,197,86
150,74,27,58,102,193,587,1002,1214,2388,2204,2179,4270,2247,1921,3806,4771,3694,3485,1947,872,692,181,115
134,71,23,63,83,232,438,935,1317,2015,2508,1750,3643,2273,2572,2990,4967,5170,3496,1541,818,522,236,98
140,86,23,62,74,230,559,1010,1486,2158,2423,1669,3903,2635,3044,3288,5129,4122,3371,1219,1041,763,209,122
130,94,29,49,90,204,480,1222,1179,1594,1982,1466,4728,3353,2627,4043,3769,4846,4210,1499,1033,563,187,98
127,94,24,40,111,215,641,1084,1213,2166,2493,1735,5075,2708,2925,4365,5260,3883,4043,1524,1009,742,235,107
110,78,21,47,107,175,653,1034,1335,1939,2766,1530,4142,2549,1962,3645,4553,4087,2551,1261,776,844,187,100
167,90,30,59,106,217,441,1228,1250,2210,2245,1776,3341,2698,2383,3040,3322,3647,3578,1931,803,627,174,96
123,94,23,47,75,275,427,775,1185,2416,2823,1795,4018,3450,2030,3438,3398,3654,3997,1905,847,826,265,119
112,91,30,54,82,245,500,870,1441,1553,2259,1854,5388,3025,1899,3329,3795,4386,2568,1357,839,541,177,95
110,91,19,59,106,241,643,1087,915,1661,2029,2330,4054,3312,2183,3724,4421,3739,3967,1825,652,545,250,88
145,114,21,39,97,185,583,1159,1300,1675,2665,2435,5088,3620,2412,3977,4220,3469,4215,1272,744,857,182,78
166,69,25,59,95,244,553,749,1380,1494,2668,2070,4222,2972,2940,4460,5176,4903,4179,1400,637,547,182,78
144,79,19,56,102,195,578,1145,1125,2439,2056,2434,4890,2973,2233,3665,3217,3824,2769,1700,874,803,239,109
150,77,21,60,107,175,485,847,1075,2111,2849,2200,4758,2838,2510,4258,3822,5045,3879,1439,931,760,246,99
122,73,20,58,107,280,521,906,1361,2387,1886,1628,5030,2952,2484,3989,3827,5237,3248,1478,652,825,226,90
123,102,22,55,75,169,561,1012,1301,2195,2560,2235,4744,3096,2144,3538,3274,3555,2761,1808,769,801,214,93
156,80,27,55,93,255,561,1067,1201,1839,2081,2190,4007,3241,2099,4523,4710,4884,3529,1291,809,666,209,91
157,97,25,47,74,214,603,1148,1124,2432,2093,1512,4868,3457,2272,3361,3986,3712,2925,1418,937,748,262,114
122,114,28,60,77,204,442,797,921,2179,2028,2063,5389,2560,2259,3198,4833,5047,3033,1815,949,643,230,119
151,79,29,44,97,210,521,839,1385,1527,2315,2362,4127,2286,2323,3797,5206,4510,3922,1340,807,577,257,87
111,93,27,42,78,169,476,1128,973,2300,2637,2254,3323,2926,3009,3500,3315,3736,2921,1975,802,771,273,112
136,113,27,55,95,192,478,821,1222,2322,2521,1937,3651,3194,2267,3293,4631,3256,3391,1413,950,703,263,110
115,78,30,61,98,198,624,772,1309,2375,2576,1563,3679,2225,2885,2931,3302,4700,2750,1753,674,552,235,116
141,110,26,61,99,180,582,963,1001,2308,2825,1561,5326,2457,2122,3415,4423,3686,3224,1963,964,706,248,118
139,84,27,51,73,268,547,902,1328,2042,2775,1988,3433,2562,1908,3747,3621,5123,2710,1984,880,595,265,79
147,104,18,60,89,269,476,1094,1142,2198,1911,1723,5435,2538,2289,3660,3602,4089,3110,1888,918,625,232,123
159,82,23,52,106,264,475,1144,1337,1638,2362,1825,5146,2305,2504,4032,4941,3779,3772,1270,907,657,253,116
